"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","227","should check all validated offers checkboxes","TemplateCollectiveOffersScreen","Thu Jan 16 16:59:02 UTC 2025","passed","Thu Jan 16 16:59:02 UTC 2025","","on click on select all offers checkbox","",""
"","194","should show a success notification if nothing has been touched","screens:StocksEventEdition","Thu Jan 16 16:58:33 UTC 2025","passed","Thu Jan 16 16:58:33 UTC 2025","","","",""
"","4","should submit uploaded image in case of template offer","useCollectiveOfferImageUpload","Thu Jan 16 17:01:10 UTC 2025","passed","Thu Jan 16 17:01:10 UTC 2025","","","",""
"","8","should render in my school tag if event adress type school is selected","FiltersTag","Thu Jan 16 16:59:56 UTC 2025","passed","Thu Jan 16 16:59:56 UTC 2025","","","",""
"","1","should return list containing only BookingRecap matching keywords","filterBookingsRecap","Thu Jan 16 16:59:25 UTC 2025","passed","Thu Jan 16 16:59:25 UTC 2025","","by offer name","",""
"","7","renders component successfully when not success","screens:EmailChangeValidation","Thu Jan 16 17:03:23 UTC 2025","passed","Thu Jan 16 17:03:23 UTC 2025","","","",""
"","13","should display awaiting Adage step","CollectiveDmsTimeline","Thu Jan 16 16:59:52 UTC 2025","passed","Thu Jan 16 16:59:52 UTC 2025","","should replace ""lieu"" by ""structure"" if WIP_ENABLE_OFFER_ADDRESS is enabled","",""
"","45","should not be able to submit when price field is not filled on edition","AllocineProviderForm","Thu Jan 16 16:59:23 UTC 2025","passed","Thu Jan 16 16:59:23 UTC 2025","","","",""
"","67","should display booking link for sold out offer with pending booking","CollectiveOfferVisibility","Thu Jan 16 16:58:50 UTC 2025","passed","Thu Jan 16 16:58:50 UTC 2025","","","",""
"","25","should add the currency sign to a price","formatPrice","Thu Jan 16 17:03:27 UTC 2025","passed","Thu Jan 16 17:03:27 UTC 2025","","","",""
"","329","should not redirect user to onboarding page if use has an offerer","SignIn","Thu Jan 16 16:59:00 UTC 2025","passed","Thu Jan 16 16:59:00 UTC 2025","","sign in with new onboarding feature","",""
"","279","should load offers with selected venue filter","route CollectiveOffers","Thu Jan 16 16:58:34 UTC 2025","passed","Thu Jan 16 16:58:34 UTC 2025","on click on search button","filters","",""
"","170","should be able to submit when price field is filled on edition","AllocineProviderForm","Thu Jan 16 16:59:23 UTC 2025","passed","Thu Jan 16 16:59:23 UTC 2025","","","",""
"","19","should indicate that user has no offers yet","IndividualOffersScreen","Thu Jan 16 16:58:22 UTC 2025","passed","Thu Jan 16 16:58:22 UTC 2025","","","",""
"","9","should show the institution and the price if the offer is bookable","AdageOfferHeader","Thu Jan 16 17:00:04 UTC 2025","passed","Thu Jan 16 17:00:04 UTC 2025","","","",""
"","416","should reset status filter when venue filter is deselected","route Offers when user is admin","Thu Jan 16 17:01:16 UTC 2025","passed","Thu Jan 16 17:01:17 UTC 2025","","","",""
